label,avg_query_time,num_distinct_values
none,2.4669124341011046,1
Site,0.22732661724090575,16
Species,0.04786339282989502,99
Year,0.06550723791122437,66
Observer,0.01966611385345459,269
ageMethod,1.0263752937316895,3
"Site,Species",0.0034860849380493166,1584
"Site,Observer",0.0010200047492980957,4304
"Site,Year",0.004384076595306397,1056
"Year,Species",0.0006477999687194825,6534
"Species,Observer",3.733158111572266e-05,26631
"Species,ageMethod",0.018217575550079346,297
"Year,Observer",6.7138671875e-05,17754
"Observer,ageMethod",0.006160414218902588,807
"Observer,Year,Species",1.3287067413330077e-05,1194003
